"flowobject","label"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TWAI","Inland water transportation services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FINS","Insurance and pension funding services; except compulsory social security services (66)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCM","Intert/metal waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_IRON","Iron ores"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_KERO","Kerosene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_KJET","Kerosene Type Jet Fuel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LZTP","Lead; zinc and tin and products thereof"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LZTO","Lead; zinc and tin ores and concentrates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LETH","Leather and leather products (19)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LIBC","Lignite/Brown Coal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LPGA","Liquefied Petroleum Gases (LPG)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LUBR","Lubricants"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MACH","Machinery and equipment n.e.c. (29)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MANB","Manure (biogas treatment)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MANC","Manure (conventional treatment)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OMEA","Meat animals nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POME","Meat products nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MEIN","Medical; precision and optical instruments; watches and clocks (33)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ORGA","Membership organisation services n.e.c. (91)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_30","Mirex"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MGSL","Motor Gasoline"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MOTO","Motor vehicles; trailers and semi-trailers (34)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_54","N"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_51","N"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_NFER","N-fertiliser"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_2","N2O"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_9","NH3"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_10","NMVOC"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_7","NOX "
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_NAPT","Naphtha"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GASL","Natural Gas Liquids"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GASS","Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GASE","Natural gas and services related to natural gas extraction; excluding surveying"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_62","Ni"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_20","Ni"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_NIKO","Nickel ores and concentrates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_NSPP","Non-specified Petroleum Products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_NUCF","Nuclear fuel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OFMA","Office machinery and computers (30)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OILS","Oil seeds"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCO","Oil/hazardous waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OTBC","Other Bituminous Coal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OGPL","Other Hydrocarbons"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OBIO","Other Liquid Biofuels"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OBUS","Other business services (74)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_66","Other emissions nec"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TLND","Other land transportation services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ONFO","Other non-ferrous metal ores and concentrates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ONFM","Other non-ferrous metal products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ONMM","Other non-metallic mineral products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OSER","Other services (93)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_OTRE","Other transport equipment (35)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WASO","Other waste for treatment: waste water treatment"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MOSG","Oxygen Steel Furnace Gas"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_55","P"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_52","P"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PFER","P- and other fertiliser"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_37","PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_44","PBDEs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_34","PCB"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_49","PCDD/F (dioxins and furans)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_5","PFCs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_36","PM10"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_41","PM2.5"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PARI","Paddy rice"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PAPE","Paper and paper products"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_COMW","Paper and wood waste for treatment: composting and land application"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANP","Paper for treatment: landfill"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCP","Paper waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BIOP","Paper waste for treatment: biogasification and land application"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PARW","Paraffin Waxes"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PATF","Patent Fuel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_59","Pb"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_14","Pb"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PEAT","Peat"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PETC","Petroleum Coke"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PIGS","Pigs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FIBR","Plant-based fibers"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCL","Plastic waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANL","Plastic waste for treatment: landfill"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PLAS","Plastics; basic"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PTEL","Post and telecommunication services (64)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PLTR","Poultry"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PREO","Precious metal ores and concentrates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PREM","Precious metals"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MDIA","Printed matter and recorded media (22)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PRHH","Private households with employed persons (95)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RICE","Processed rice"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FORE","Products of forestry; logging and related services (02)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PCAT","Products of meat cattle"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PPIG","Products of meat pigs"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PPLT","Products of meat poultry"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PADF","Public administration and defence services; compulsory social security services (75)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PULP","Pulp"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RATV","Radio; television and communication equipment and apparatus (32)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TRAI","Railway transportation services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MILK","Raw milk"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_REAL","Real estate services (70)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RECR","Recreational; cultural and sporting services (92)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_REFF","Refinery Feedstocks"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RGAS","Refinery Gas"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_MARE","Renting services of machinery and equipment without operator and of personal and household goods (71)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RESD","Research and development services (73)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TDRT","Retail  trade services; except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TDFU","Retail trade services of motor fuel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RUBP","Rubber and plastic products (25)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_6","SF6"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_8","SOx"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TDMO","Sale; maintenance; repair of motor vehicles; motor vehicles parts; motorcycles; motor cycles parts and accessoiries"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_SDCL","Sand and clay"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_21","Se"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TWAS","Sea and coastal water transportation services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ALUW","Secondary aluminium for treatment; Re-processing of secondary aluminium into new aluminium"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_CONW","Secondary construction material for treatment; Re-processing of secondary construction material into aggregates"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_COPW","Secondary copper for treatment; Re-processing of secondary copper into new copper"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GLAW","Secondary glass for treatment; Re-processing of secondary glass into new glass"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LZTW","Secondary lead for treatment; Re-processing of secondary lead into new lead"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ONFW","Secondary other non-ferrous metals for treatment; Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PAPR","Secondary paper for treatment; Re-processing of secondary paper into new pulp"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PLAW","Secondary plastic for treatment; Re-processing of secondary plastic into new plastic"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_PREW","Secondary preciuos metals for treatment; Re-processing of secondary preciuos metals into new preciuos metals"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_RYMS","Secondary raw materials"
