"activity","label"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PLAW","Re-processing of secondary plastic into new plastic"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PREW","Re-processing of secondary preciuos metals into new preciuos metals"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_COPW","Re-processing of secondary copper into new copper"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_GLAW","Re-processing of secondary glass into new glass"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_LZTW","Re-processing of secondary lead into new lead"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_PAPR","Re-processing of secondary paper into new pulp"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_STEW","Re-processing of secondary steel into new steel"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WOOW","Re-processing of secondary wood material into new wood material"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_ONFW","Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_CONW","Re-processing of secondary construction material into aggregates"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_REAL","Real estate activities (70)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RECR","Recreational, cultural and sporting activities (92)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_BOTW","Recycling of bottles by direct reuse"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RYMS","Recycling of waste and scrap"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_MARE","Renting of machinery and equipment without operator and of personal and household goods (71)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_RESD","Research and development (73)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TDFU","Retail sale of automotive fuel"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TDRT","Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TDMO","Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TWAS","Sea and coastal water transport"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_HWAT","Steam and hot water supply"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_SUGR","Sugar refining"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TAUX","Supporting and auxiliary transport activities; activities of travel agencies (63)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_LETH","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_POWT","Transmission of electricity"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TPIP","Transport via pipelines"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TRAI","Transport via railways"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WASF","Waste water treatment, food"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WASO","Waste water treatment, other"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_TDWH","Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
"http://rdf.bonsai.uno/activitytype/exiobase3_3_17#A_WOOL","Wool, silk-worm cocoons"
